Date,Level
1969-01,-208.956
1969-02,-208.682
1969-03,-208.856
1969-04,-208.916
1969-05,-208.929
1969-06,-208.93
1969-07,-209.007
1969-08,-209.207
1969-09,-209.34
1969-10,-209.479
1969-11,-209.513
1969-12,-209.521
1970-01,-209.39
1970-02,-209.326
1970-03,-209.053
1970-04,-208.92
1970-05,-208.933
1970-06,-209.1
1970-07,-209.341
1970-08,-209.654
1970-09,-209.934
1970-10,-210.196
1970-11,-210.394
1970-12,-210.451
1971-01,-210.47
1971-02,-210.166
1971-03,-209.549
1971-04,-209.117
1971-05,-208.905
1971-06,-208.955
1971-07,-209.137
1971-08,-209.415
1971-09,-209.655
1971-10,-209.886
1971-11,-210.057
1971-12,-210.003
1972-01,-209.86
1972-02,-209.48
1972-03,-209.238
1972-04,-209.075
1972-05,-209.077
1972-06,-209.246
1972-07,-209.536
1972-08,-209.907
1972-09,-210.218
1972-10,-210.477
1972-11,-210.693
1972-12,-210.837
1973-01,-210.863
1973-02,-210.725
1973-03,-210.474
1973-04,-210.28
1973-05,-210.253
1973-06,-210.373
1973-07,-210.666
1973-08,-211.022
1973-09,-211.274
1973-10,-211.554
1973-11,-211.695
1973-12,-211.703
1974-01,-211.477
1974-02,-210.764
1974-03,-210.178
1974-04,-209.706
1974-05,-209.549
1974-06,-209.676
1974-07,-209.914
1974-08,-210.219
1974-09,-210.492
1974-10,-210.75
1974-11,-210.953
1974-12,-210.972
1975-01,-210.967
1975-02,-210.716
1975-03,-210.204
1975-04,-210.08
1975-05,-210.124
1975-06,-210.315
1975-07,-210.656
1975-08,-211.035
1975-09,-211.331
1975-10,-211.688
1975-11,-211.794
1975-12,-211.709
1976-01,-211.483
1976-02,-211.132
1976-03,-210.601
1976-04,-210.077
1976-05,-209.92
1976-06,-210.04
1976-07,-210.329
1976-08,-210.72
1976-09,-211.001
1976-10,-211.197
1976-11,-211.33
1976-12,-211.102
1977-01,-210.82
1977-02,-210.349
1977-03,-209.968
1977-04,-209.704
1977-05,-209.476
1977-06,-209.591
1977-07,-209.83
1977-08,-210.16
1977-09,-210.433
1977-10,-210.612
1977-11,-210.731
1977-12,-210.526
1978-01,-210.032
1978-02,-209.545
1978-03,-209.218
1978-04,-209.039
1978-05,-208.994
1978-06,-209.126
1978-07,-209.44
1978-08,-209.842
1978-09,-210.122
1978-10,-210.232
1978-11,-210.17
1978-12,-210.136
1979-01,-210.103
1979-02,-210.041
1979-03,-209.99
1979-04,-209.984
1979-05,-210.188
1979-06,-210.45
1979-07,-210.866
1979-08,-211.289
1979-09,-211.542
1979-10,-211.736
1979-11,-211.796
1979-12,-211.674
1980-01,-211.07
1980-02,-210.489
1980-03,-209.358
1980-04,-208.977
1980-05,-208.959
1980-06,-209.074
1980-07,-209.358
1980-08,-209.704
1980-09,-209.974
1980-10,-210.196
1980-11,-210.296
1980-12,-210.345
1981-01,-209.868
1981-02,-209.355
1981-03,-209.088
1981-04,-208.953
1981-05,-208.936
1981-06,-209.035
1981-07,-209.299
1981-08,-209.654
1981-09,-209.937
1981-10,-210.145
1981-11,-210.294
1981-12,-210.345
1982-01,-210.365
1982-02,-210.077
1982-03,-209.793
1982-04,-209.691
1982-05,-209.784
1982-06,-209.993
1982-07,-210.378
1982-08,-210.826
1982-09,-211.21
1982-10,-211.481
1982-11,-211.65
1982-12,-211.688
1983-01,-211.444
1983-02,-211.025
1983-03,-209.959
1983-04,-209.401
1983-05,-209.279
1983-06,-209.39
1983-07,-209.68
1983-08,-210.065
1983-09,-210.38
1983-10,-210.615
1983-11,-210.656
1983-12,-210.626
1984-01,-210.61
1984-02,-210.333
1984-03,-210.05
1984-04,-209.601
1984-05,-209.412
1984-06,-209.571
1984-07,-209.86
1984-08,-210.256
1984-09,-210.593
1984-10,-210.788
1984-11,-210.877
1984-12,-210.918
1985-01,-210.857
1985-02,-210.235
1985-03,-209.837
1985-04,-209.744
1985-05,-209.791
1985-06,-210.064
1985-07,-210.458
1985-08,-210.831
1985-09,-211.175
1985-10,-211.455
1985-11,-211.657
1985-12,-211.831
1986-01,-211.74
1986-02,-211.462
1986-03,-211.216
1986-04,-211.145
1986-05,-211.15
1986-06,-211.295
1986-07,-211.598
1986-08,-211.95
1986-09,-212.298
1986-10,-212.416
1986-11,-212.257
1986-12,-212.015
1987-01,-211.299
1987-02,-210.753
1987-03,-210.268
1987-04,-209.722
1987-05,-209.622
1987-06,-209.713
1987-07,-209.922
1987-08,-210.224
1987-09,-210.497
1987-10,-210.716
1987-11,-210.833
1987-12,-210.825
1988-01,-210.373
1988-02,-209.64
1988-03,-209.144
1988-04,-208.92
1988-05,-208.901
1988-06,-209.014
1988-07,-209.281
1988-08,-209.619
1988-09,-209.901
1988-10,-210.172
1988-11,-210.34
1988-12,-210.391
1989-01,-210.286
1989-02,-210.217
1989-03,-210.162
1989-04,-210.175
1989-05,-210.403
1989-06,-210.756
1989-07,-211.143
1989-08,-211.545
1989-09,-211.913
1989-10,-212.2
1989-11,-212.392
1989-12,-212.321
1990-01,-212.119
1990-02,-211.912
1990-03,-211.589
1990-04,-211.39
1990-05,-211.385
1990-06,-211.53
1990-07,-211.814
1990-08,-212.205
1990-09,-212.545
1990-10,-212.78
1990-11,-212.897
1990-12,-212.94
1991-01,-212.909
1991-02,-212.686
1991-03,-212.44
1991-04,-212.118
1991-05,-212.025
1991-06,-212.124
1991-07,-212.284
1991-08,-212.508
1991-09,-212.699
1991-10,-212.869
1991-11,-212.89
1991-12,-212.513
1992-01,-211.513
1992-02,-209.88
1992-03,-209.252
1992-04,-208.955
1992-05,-208.903
