Year,Month,Desalinated Water Amount
2016,1,5729472
2016,2,8967040
2016,3,11481280
2016,4,11221943
2016,5,11748736
2016,6,11153216
2016,7,11640896
2016,8,11307648
2016,9,11283520
2016,10,12182784
2016,11,11423168
2016,12,8861312
2017,1,8141888
2017,2,8703040
2017,3,10740416
2017,4,11438656
2017,5,11647296
2017,6,11530432
2017,7,12098112
2017,8,11964480
2017,9,11960960
2017,10,11881856
2017,11,11746176
2017,12,12678080
2018,1,10444270
2018,2,12121820
2018,3,13289696
2018,4,12330080
2018,5,12380264
2018,6,13552760
2018,7,13992176
2018,8,14379308
2018,9,13583904
2018,10,13558784
2018,11,13168928
2018,12,12073728
2019,1,11183232
2019,2,12208832
2019,3,12487296
2019,4,12918592
2019,5,13243776
2019,6,13566336
2019,7,14368160
2019,8,14419296
2019,9,13789952
2019,10,14225920
2019,11,13127232
2019,12,13146816
2016,1,8650675
2016,2,6293785
2016,3,7174467
2016,4,8390714
2016,5,8465820
2016,6,9044640
2016,7,9490290
2016,8,10223694
2016,9,9835665
2016,10,9588655
2016,11,8327100
2016,12,8814496
2017,1,10100070
2017,2,6922220
2017,3,8909900
2017,4,9741935
2017,5,10605190
2017,6,10286425
2017,7,10902130
2017,8,10882970
2017,9,10101200
2017,10,10704610
2017,11,9713730
2017,12,9886230
2018,1,9788330
2018,2,7861300
2018,3,9696143
2018,4,10002188
2018,5,10692873
2018,6,10195454
2018,7,10990850
2018,8,10997010
2018,9,10607890
2018,10,10751905
2018,11,9557605
2018,12,10490365
2019,1,10396230
2019,2,7714670
2019,3,9941040
2019,4,10203710
2019,5,10749311
2019,6,10916043
2019,7,10985455
2019,8,10827775
2019,9,10633290
2019,10,11102890
2019,11,10475865
2019,12,10614880
2016,1,5369230
2016,2,5692308
2016,3,6120773
2016,4,6210201
2016,5,6995408
2016,6,6709052
2016,7,7268557
2016,8,7112923
2016,9,7230272
2016,10,7987329
2016,11,7730335
2016,12,5663118
2017,1,6206830
2017,2,5905210
2017,3,6669420
2017,4,7167870
2017,5,7917412
2017,6,7502389
2017,7,8100518
2017,8,8097360
2017,9,8307800
2017,10,8759400
2017,11,8015664
2017,12,8149520
2018,1,6659336
2018,2,7271852
2018,3,7025420
2018,4,8218480
2018,5,8131240
2018,6,8041352
2018,7,8440972
2018,8,8753700
2018,9,8149200
2018,10,8647166
2018,11,7924370
2018,12,7716800
2019,1,8227872
2019,2,7577078
2019,3,6773728
2019,4,8031472
2019,5,8456480
2019,6,8266784
2019,7,8608636
2019,8,8890676
2019,9,8380640
2019,10,8909184
2019,11,8535930
2019,12,7828326
2016,1,8788414
2016,2,10216824
2016,3,11248828
2016,4,11817448
2016,5,14425920
2016,6,14082892
2016,7,14084866
2016,8,13924142
2016,9,13951504
2016,10,14691796
2016,11,11183674
2016,12,11282704
2017,1,9105088
2017,2,10664168
2017,3,12110288
2017,4,12006416
2017,5,14524704
2017,6,14075216
2017,7,14693776
2017,8,14738272
2017,9,14607904
2017,10,14871872
2017,11,12483680
2017,12,14188000
2018,1,12646252
2018,2,12983488
2018,3,14126116
2018,4,13110092
2018,5,14229444
2018,6,15222608
2018,7,15705600
2018,8,16026464
2018,9,15192680
2018,10,15558904
2018,11,14240064
2018,12,14409920
2019,1,13094104
2019,2,12773042
2019,3,14217316
2019,4,13873661
2019,5,14344533
2019,6,15027956
2019,7,15666498
2019,8,16016224
2019,9,14997536
2019,10,15093824
2019,11,14446688
2019,12,14400416
2016,1,6220045
2016,2,4909120
2016,3,6954352
2016,4,5795246
2016,5,7505152
2016,6,6970368
2016,7,6556416
2016,8,8245376
2016,9,7762176
2016,10,8668032
2016,11,6448837
2016,12,5328896
2017,1,5095424
2017,2,4957184
2017,3,7085056
2017,4,5748180
2017,5,3175424
2017,6,8146944
2017,7,7445504
2017,8,8250368
2017,9,8970368
2017,10,9547580
2017,11,7909184
2017,12,7366120
2018,1,6611504
2018,2,6321475
2018,3,8240890
2018,4,7858730
2018,5,9106896
2018,6,9220096
2018,7,8935424
2018,8,9502720
2018,9,9388032
2018,10,9461368
2018,11,7767046
2018,12,7164512
2019,1,7354368
2019,2,5997828
2019,3,8214876
2019,4,8075042
2019,5,8908928
2019,6,8912896
2019,7,8376320
2019,8,8667136
2019,9,9117824
2019,10,9719416
2019,11,7711264
2019,12,7208112
