Date,Desalinated Water Amount
1/1/2021,4383433.4
1/2/2021,3965195.2
1/3/2021,5585448.87
1/4/2021,5439553.22
1/5/2021,9129388
1/6/2021,9015168
1/7/2021,8216824
1/8/2021,8070400
1/9/2021,9409790
1/10/2021,9550903.9
1/11/2021,7863810
1/12/2021,6332314.42
1/1/2020,9870490
1/2/2020,7168665
1/3/2020,9496710
1/4/2020,9218805
1/5/2020,10549635
1/6/2020,10205815
1/7/2020,10727775
1/8/2020,10501415
1/9/2020,10095760
1/10/2020,10277335
1/11/2020,9738885
1/12/2020,7236116
1/1/2021,7617080.43
1/2/2021,4945665
1/3/2021,6674445
1/4/2021,7219035
1/5/2021,9978800
1/6/2021,9770500
1/7/2021,10203314
1/8/2021,9967700
1/9/2021,9745441.71
1/10/2021,9861880.2
1/11/2021,9317160
1/12/2021,9080585
1/1/2021,8504160
1/2/2021,10305088
1/3/2021,11566440
1/4/2021,11318500
1/5/2021,12456600
1/6/2021,11941380
1/7/2021,11940672
1/8/2021,11684900
1/9/2021,12826100
1/10/2021,12813132
1/11/2021,9176000
1/12/2021,7679380
1/1/2020,6400864
1/2/2020,6062336
1/3/2020,7314538
1/4/2020,6523872
1/5/2020,7851328
1/6/2020,7559448
1/7/2020,8070360
1/8/2020,8021100
1/9/2020,8182424
1/10/2020,8874400
1/11/2020,8527000
1/12/2020,4604100
1/1/2021,4531600
1/2/2021,4059700
1/3/2021,4652800
1/4/2021,5307800
1/5/2021,7395200
1/6/2021,7621700
1/7/2021,7142500
1/8/2021,6904600
1/9/2021,7831400
1/10/2021,8180700
1/11/2021,7666400
1/12/2021,6644435
1/1/2021,6609000
1/2/2021,5552900
1/3/2021,4808136
1/4/2021,8500800
1/5/2021,13793600
1/6/2021,13501276
1/7/2021,14646740
1/8/2021,13941704
1/9/2021,13567400
1/10/2021,14384700
1/11/2021,10828356
1/12/2021,10793092
1/1/2020,11804160
1/2/2020,7871300
1/3/2020,12170304
1/4/2020,12344704
1/5/2020,13859872
1/6/2020,13504992
1/7/2020,14356584
1/8/2020,13859104
1/9/2020,14356584
1/10/2020,13859104
1/11/2020,11917152
1/12/2020,10852576
1/1/2020,2086272
1/2/2020,9306368
1/3/2020,13044992
1/4/2020,12723264
1/5/2020,12399488
1/6/2020,13287424
1/7/2020,12320916
1/8/2020,12192000
1/9/2020,13440100
1/10/2020,14035500
1/11/2020,12775400
1/12/2020,9389812
1/1/2020,7237250
1/2/2020,6707720
1/3/2020,8249344
1/4/2020,7735078
1/5/2020,9121792
1/6/2020,8773760
1/7/2020,7413956
1/8/2020,9138200
1/9/2020,9080800
1/10/2020,9619777.5
1/11/2020,4762450
1/12/2020,6327200
