Date,Desalinated Water Amount
1/1/2022,9259711
1/1/2022,4812395
1/1/2022,7495090
1/1/2022,6284137
1/1/2022,10206700
1/2/2022,9545700
1/2/2022,4567127
1/2/2022,4896095
1/2/2022,5552900
1/2/2022,9547000
1/3/2022,11318300
1/3/2022,4763202
1/3/2022,6579032
1/3/2022,6036410
1/3/2022,6710550
1/4/2022,11809900
1/4/2022,5277024
1/4/2022,7198390
1/4/2022,6191348
1/4/2022,11296418
1/5/2022,12644600
1/5/2022,9041020
1/5/2022,9947775
1/5/2022,7337400
1/5/2022,13936967
1/6/2022,11923300
1/6/2022,8815620
1/6/2022,9597226
1/6/2022,7302879
1/6/2022,13554495
1/7/2022,12122600
1/7/2022,8719040
1/7/2022,10312735
1/7/2022,7679998
1/7/2022,13800696
1/8/2022,11929800
1/8/2022,8453589
1/8/2022,10798615
1/8/2022,7702900
1/8/2022,14060417
1/9/2022,12389900
1/9/2022,8246400
1/9/2022,9442645
1/9/2022,7613600
1/9/2022,13474145
1/10/2022,12853900
1/10/2022,9172648
1/10/2022,9915475
1/10/2022,8596800
1/10/2022,13863800
1/11/2022,10004900
1/11/2022,6747779
1/11/2022,9104610
1/11/2022,1830479
1/11/2022,2846440
1/12/2022,7161942
1/12/2022,5488640
1/12/2022,9119394
1/12/2022,6220179
1/12/2022,10286250
