Date,Max Temp,Min Temp
1/1/2008,19.4,12.8
2/1/2008,15.8,9.1
3/1/2008,17.2,10.7
4/1/2008,15.2,10
5/1/2008,18.7,9.2
6/1/2008,17,6.5
7/1/2008,15.1,6.5
8/1/2008,15.7,10.9
9/1/2008,17.2,10.5
10/1/2008,14.9,9.4
11/1/2008,14,4.5
12/1/2008,14,3.8
13/01/2008,13.9,3.7
14/01/2008,14,2.4
15/01/2008,15.6,2.5
16/01/2008,16.9,6.3
17/01/2008,18.1,9.1
18/01/2008,18.2,8.4
19/01/2008,18.5,8.1
20/01/2008,17.3,8
21/01/2008,20.5,7.2
22/01/2008,17.5,7.9
23/01/2008,12.9,7.1
24/01/2008,14.5,4.9
25/01/2008,17.3,6.5
26/01/2008,16,10.6
27/01/2008,15.7,9.3
28/01/2008,16.2,10.4
29/01/2008,15.4,9.9
30/01/2008,11.1,7.9
31/01/2008,12.3,4.3
1/2/2008,13.7,4.9
2/2/2008,16.1,8.4
3/2/2008,19.9,6.8
4/2/2008,19.5,6.7
5/2/2008,19.8,12.1
6/2/2008,22.6,11.8
7/2/2008,20.2,10.1
8/2/2008,19.2,10.3
9/2/2008,22.1,10.1
10/2/2008,23.3,13.7
11/2/2008,20.7,10.4
12/2/2008,15.9,11.4
13/02/2008,19.2,10.1
14/02/2008,13.3,9.9
15/02/2008,16.7,7.4
16/02/2008,17.2,7.9
17/02/2008,17.9,8.4
18/02/2008,16.4,9.5
19/02/2008,15.9,7.1
20/02/2008,17.5,7.8
21/02/2008,20,4.7
22/02/2008,20.6,10.7
23/02/2008,23.6,9.9
24/02/2008,20.2,12.3
25/02/2008,18.6,10.2
26/02/2008,19.3,10.6
27/02/2008,19.5,8.5
28/02/2008,25.6,9.3
29/02/2008,23.7,11.1
1/3/2008,21.2,12.9
2/3/2008,20.7,12.2
3/3/2008,21.4,12.7
4/3/2008,21.8,11.9
5/3/2008,26.5,12
6/3/2008,28,17
7/3/2008,28.6,12.3
8/3/2008,31,17.5
9/3/2008,28.9,20
10/3/2008,24.6,16.7
11/3/2008,23.4,10.9
12/3/2008,22.2,10.1
13/03/2008,23.4,11
14/03/2008,21.9,13.7
15/03/2008,22,11.6
16/03/2008,26.1,7.1
17/03/2008,29,12.2
18/03/2008,28.3,17.8
19/03/2008,26.8,12.7
20/03/2008,26.6,11.1
21/03/2008,28.8,12.7
22/03/2008,32.3,14.3
23/03/2008,33.2,15.4
24/03/2008,32.8,15.9
25/03/2008,30.6,17.4
26/03/2008,24.4,14.6
27/03/2008,24.4,11.9
28/03/2008,25.4,11.6
29/03/2008,29.3,17.7
30/03/2008,25.1,15.6
31/03/2008,21.9,14.4
1/4/2008,23.8,12.6
2/4/2008,25,11.4
3/4/2008,30.8,10.8
4/4/2008,24.3,14.3
5/4/2008,25.6,12.9
6/4/2008,33,18.8
7/4/2008,26.6,17.2
8/4/2008,23.9,12.3
9/4/2008,24.3,12.8
10/4/2008,29.5,14.6
11/4/2008,30.8,16
12/4/2008,26.8,15.8
13/04/2008,32.2,16
14/04/2008,39.6,19.4
15/04/2008,39.2,21.8
16/04/2008,29.6,18.9
17/04/2008,26.2,15.2
18/04/2008,30.7,14.4
19/04/2008,30.7,16.3
20/04/2008,30.6,13.7
21/04/2008,33.3,16.2
22/04/2008,37.8,18.3
23/04/2008,43,20.1
24/04/2008,41.9,24.9
25/04/2008,34,21.4
26/04/2008,31.6,20.5
27/04/2008,29.6,19.5
28/04/2008,28.8,14.9
29/04/2008,27.6,14.7
30/04/2008,27.3,15.2
1/5/2008,26.8,14
2/5/2008,28.9,14.3
3/5/2008,30.7,14.8
4/5/2008,31.2,14.3
5/5/2008,32,15.8
6/5/2008,28.4,17
7/5/2008,28.4,16.3
8/5/2008,28,16.4
9/5/2008,26,15.9
10/5/2008,27.8,14.6
11/5/2008,28.4,14.5
12/5/2008,32.9,17.4
13/05/2008,34.1,19.3
14/05/2008,31.5,18.5
15/05/2008,34,21.2
16/05/2008,29.7,19
17/05/2008,28.5,17
18/05/2008,30.2,17.9
19/05/2008,34.7,18.4
20/05/2008,34.7,18.4
